Date,Year,Month,Day,Title,Tasks,Region mapped,City,Place,Partner,Whom is confirmed to go,Requesting NGO,Nb réel de participants,Nb prévu de participants?,"Stats contribution
Batiments","Stats contribution
Route",Landuse,Waterways,Forest,Cagnotte Boite à Dons,Sponsor nourriture?
17/12/2019,2019,11,17,Mapathon Missing Maps à Lyon @Le Tuba,,,Lyon,Le Tuba,,,,,,,,,,,,
27/11/2019,2019,11,27,Mapathon Missing Maps à Chambéry @o79,,,Chambéry,o79,,,,,,,,,,,,
20/11/2019,2019,11,20,Mapathon Missing Maps à Grenoble @La Turbine.Coop,,,Grenoble,La Turbine.Coop,,,,,,,,,,,,
19/11/2019,2019,11,19,Mapathon Missing Maps à Lyon @Le Tuba,,,Lyon,Le Tuba,,,,,,,,,,,,
14/11/2019,2019,11,14,Mapathon Université Savoie-Mont-Blanc,,,Chambéry,Université Savoie-Mont-Blanc,,,,,,,,,,,,
17/11/2019,2019,11,17,Mapathon Karya,,,Thiez,,,,,,,,,,,,,
13/11/2019,2019,11,13,Mapathon Besançon,,,Besançon,Maison des sciences de l'homme et de l'environnement,,,,,,,,,,,,
07/11/2019,2019,11,7,Mapathon Missing Maps à Paris @La Paillasse,5822,Burkina Faso,Paris,La Paillasse,Yaam Solidarité,Clémence,Yaam Solidarité,,,,,,,,,
15/10/2019,2019,10,15,Mapathon Missing Maps à Lyon @Le Tuba,6760,Guyane,Lyon,Le Tuba,Maroni Lab,Léonie,Maroni Lab,5,8,294,"26 routes (12,1 km)",,,,,
09/10/2019,2019,10,9,Mapathon Missing Maps à Chambéry @La Dynamo,4442,Haïti,Chambéry,La Dynamo,Pays de Savoie Solidaires,"Léonie, Hana",Pays de Savoie Solidaires,21,17,826,"209 routes (51,9 km)",,,,,
07/10/2019,2019,10,7,Mapathon Cours Informatique Centre Social Arc en Ciel,5822,Burkina Faso,Paris,Arc en ciel,Yaam Solidarité,Jean Yves,Yaam Solidarité,4,6,19,0,,,,,
26/09/2019,2019,9,26,Mapathon Arvalis,5822,Burkina Faso,Paris,Arvalis,Yaam Solidarité,"Jean Paul, Jean Yves",Yaam Solidarité,6,8,1300,2 routes (0.07 km),,,,,
25/09/2019,2019,9,25,Mapathon Missing Maps à Grenoble @La Turbine.Coop,6760,Guyane,Grenoble,La Turbine.Coop,Maroni Lab,Hana,Maroni Lab,7,10,340,78 routes (33.3 km),,,,,
17/09/2019,2019,9,17,Mapathon Missing Maps à Lyon @Le Tuba,5822,Burkina Faso,Lyon,Le Tuba,Yaam Solidarité,"Léonie, Hana",Yaam Solidarité,11,14,2835,"137 routes (30,2 km)",,,,,
12/09/2019,2019,9,12,Mapathon Missing Maps à Paris @La Paillasse,6069,Kenya,Paris,La Paillasse,HCR,Léonie,HCR,11,15,1413,"96 routes (20,2 km)",,,,,
03/07/2019,2019,7,3,Mapathon Missing Maps à Grenoble @La Turbine.Coop,6174,Kenya,Grenoble,La Turbine.Coop,HCR,Hana,HCR,9,10,2614,3.9,,,,,
20/06/2019,2019,6,20,Mapathon IHS Markit,,Kenya,,IHS Markit,HCR,Jennifer Tschopp,HCR,,,,,,,,,
20/06/2019,2019,6,20,Mapathon Arvalis,6174,Kenya,Paris,Arvalis,HCR,"Jean Paul, Jean Yves",HCR,15,15,3306,20.2,,,,,
19/06/2019,2019,6,19,Mapathon Missing Maps à Lyon @Le Tuba,6068 - 5636,Kenya - RDC,Lyon,Le Tuba,HCR,Jeanne,HCR,11,12,3811 - 120,22.2 - 32.8,,,,,
28/05/2019,2019,5,28,Mapathon Missing Maps à Chambéry @Le Mug,6072,Niger,Chambéry,Le Mug,HCR,Jeanne,HCR,5,4,1425,,,,,,
22/05/2019,2019,5,22,Mapathon Missing Maps à Grenoble @La Turbine.Coop,5636,RDC,Grenoble,La Turbine.Coop,OSM RDC,Hana,OSM RDC,5,7,106,101.6,,,,,
21/05/2019,2019,5,21,Mapathon Missing Maps à Lyon @Le Tuba,"5891, 5636","Ethiopie, RDC",Lyon,Le Tuba,HCR,Jeanne,HCR,6,8,511,96.6 + 13,,,,,
21/05/2019,2019,5,21,Mapathon Ecoles de Mines d'Alès,"5890, 5891",Ethiopie,Alès,IMT Alès,HCR,Hana,HCR,10,12,"42, 139","4, 2.3",,,,,
15/05/2019,2019,5,15,Mapathon Missing Maps Age d'Or,5890,Ethiopie,Grenoble,Maison des Habitats,HCR,Hana + Océane et Hugo,HCR,14,20,68,0.7,,,,,
09/05/2019,2019,5,9,Mapathon Missing Maps Paris @ La Paillasse,5890,Ethiopie,Paris,La Paillasse,HCR,Jeanne,HCR,5,14,204,19.4,,,,,
07/05/2019,2019,5,7,Mapathon à l'IEDES,5889,Ethiopie,Nogent Sur Marne,IEDES,HCR,Jeanne,HCR,12,12,526,7.7,,,,,
23/04/2019,2019,4,23,Mapathon Missing Maps à Lyon @Le Tuba,"5861, 5889",Ethiopie,Lyon,Le Tubà,HCR,"Jeanne, Hana, Gagan",HCR,9,9,"679, 410","34.7, 5.3",,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Paris @ La Bellevilloise,5891,Ethiopie,Paris,La Bellevilloise,HCR,"Jeanne, Claire + béné",HCR,35,30,2033,68,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Chambéry @Technolac,5636,RDC,Chambéry,Université Le Bourget,CartONG,"Martin, Gagan + AGS",HCR,20,40,381,201,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Lyon @Hevea,"5847, 5891",Ethiopie,Lyon,Hévéa,HCR,Charlotte + béné + AGEAMS,HCR,20,35,2033 - 381,68,,,,,
05/04/2019,2019,4,5,#109 - HidroItuango 2 - Bajo Cauca,109,Colombie,Pau,Université UPPA,OSM Colombie,Delphine,,17,20,557,199,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Perpignan @Université Via Domitia,5889,Ethiopie,Perpignan,Université Via Domitia,HCR,Bénévoles,,12,8,608,16.2,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Brest @Fab Lab UBO,5636,Kalémie,Brest,UBO Open Factory,CartONG,Bénévoles,,15,12,381,201,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Grenoble @IUGA,"5847, 5891",Ethiopie,Grenoble,IUGA,HCR,Manon + béné,,45,31,125 - 2033,68,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Saint-Louis @Université Gaston Berger,690,Sénégal,Saint Louis,Université Gaston Berger,,Bénévoles,,14,23,,,,,,,
05/04/2019,2019,4,5,,,,Bamako,,,OSM Mali,,,,,,,,,,
05/04/2019,2019,4,5,,"Ouidah, Kétou",Bénin,Calavi, Université d’Abomey-Calavi ,DGAT-IGATE-LaCarto,Cartotourisme,,48,,13826 - 22122,1081 - 2587,,,,,
05/04/2019,2019,4,5,,,,Kinshasa,,,OSM RDC,,100,x,,,,,,,
05/04/2019,2019,4,5,,,,Tana,Université Ivo Tech Tana,,OSM Mada,,16,,,,,,,,
05/04/2019,2019,4,5,,,,Lomé,Faculté des Sciences et de la Société,,OSM Toog,,50,,,,,,,,
05/04/2019,2019,4,5,,,,Heidelberg,Université Heidelberg,,Melanie,,15,x,1030,87,,,,,
05/04/2019,2019,4,5,,,,Milan,Unicersité Politecnico di Milano,,Polimappers,,20,x,1588,,,,,,
