Date,Year,Month,Day,Title,Tasks,Requesting NGO (project),Region mapped,City,Place,Whom is confirmed to go,Mapathon Partner,Nb PREVU de participants,Nb REEL de participants,"Stats contribution
Batiments","Stats contribution
nombre de Routes","Stats contribution
Route (km)"
30/06/2020,2020,6,30,Mapathon Missing Maps à Chambéry @o79,,,,Chambéry,o79,,,,,,,
16/06/2020,2020,6,16,Mapathon Missing Maps à Lyon @Le Tuba,,,,Lyon,Le Tuba,,,,,,,
08/06/2020,2020,6,8,Mapathon Missing Maps à Lyon @L'ESS'pace,,,,Paris,L'ESS'pace,,,,,,,
03/06/2020,2020,6,3,Mapathon Missing Maps à Grenoble @La Turbine.Coop,,,,Grenoble,La Turbine.Coop,,,,,,,
19/05/2020,2020,5,19,Mapathon Missing Maps à Lyon @Le Tuba,,,,Lyon,Le Tuba,,,,,,,
05/05/2020,2020,5,5,Mapathon Missing Maps à Lyon @La Dynamo,,,,Chambéry,La Dynamo,,,,,,,
23/03/2020,2020,3,23,Mapathon Missing Maps à Paris @L'ESS'pace,,,,Paris,L'ESS'pace,,,,,,,
17/03/2020,2020,3,17,Mapathon Missing Maps à Lyon @Le Tuba,,DESSALINE,,Lyon,Le Tuba,,,,,,,
11/03/2020,2020,3,11,Mapathon Missing Maps à Chambéry @o79,,,,Chambéry,o79,,,,,,,
14/03/2020,2020,3,14,Mapathon Karya,?,,,Ambérieu,MJC d'Ambérieu,x,,,,,,
05/03/2020,2020,3,5,Mapathon ENSG,,,,Champs-sur-Marne,ENSG,,,,,,,
18/02/2020,2020,2,18,Mapathon Missing Maps à Lyon @Le Tuba,7717/7718,HSF / Pays de Savoie Solidaires,Cameroun / Haïti,Lyon,Le Tuba,Léonie,HSF / Pays de Savoie Solidaires,,,,,
15/02/2020,2020,2,15,Mapathon Karya,?,,,Ambérieu,MJC d'Ambérieu,x,,,,,,
05/02/2020,2020,2,5,Mapathon Missing Maps à Grenoble @La Turbine.Coop,7717/7718,HSF / Pays de Savoie Solidaires,Cameroun / Haïti,Grenoble,La Turbine.Coop,"Céline, Léonie",HSF / Pays de Savoie Solidaires,19,12,2076,378,
29/01/2020,2020,1,9,Mapathon Saint Etienne,66,KLL + Nepal Monitor,Népal,Saint Etienne,GEONUM,Léonie,KLL + Nepal Monitor,,,,,
27/01/2020,2020,1,27,Mapathon Missing Maps à Paris @L'ESS'pace,7717,HSF,Cameroun,Paris,L'ESS'pace,Céline,HSF,26,12,389,5,"3,2"
23/01/2020,2020,1,23,Mapathon Géocéan La Rochelle,66,KLL + Nepal Monitor,Népal,La Rochelle,Université de La Rochelle,Léonie,KLL + Nepal Monitor,15,25,x,x,x
21/01/2020,2020,1,21,Mapathon Missing Maps à Lyon @Le Tuba,7717,HSF,Cameroun,Lyon,Le Tuba,Céline,HSF,11,8,551,3,0.9
18/01/2020,2020,1,18,Mapathon Karya,?,?,Tanzanie,Ambérieu,MJC d'Ambérieu,x,,,,,,
08/01/2020,2020,1,8,Mapathon Missing Maps à Lyon @La Dynamo,4442,Pays de Savoie Solidaires,Haïti,Chambéry,La Dynamo,"Léonie, Céline",Pays de Savoie Solidaires,9,10,75,86,"72,7"
17/12/2019,2019,12,17,Mapathon Missing Maps à Lyon @Le Tuba,5822,Yaam Solidarité,Burrkina Faso,Lyon,Le Tuba,Léonie,Yaam Solidarité,8,8,1859,"12 routes (1,9km)",
09/12/2019,2019,12,9,Mapathon IEP Grenoble,5458,Autre,Philippines,Grenoble,IEP de Grenoble,"Manon, Céline",Youtth Mappers,x,70,1037,528 routes (353 km),
04/12/2019,2019,12,4,Mapathons Magellium,7249,UNHCR,Kenya,Toulouse, Magellium,"Manon, Céline",UNHCR,x,25,2895,81 routes (17.3 km),
04/12/2019,2019,12,4,Mapathons SupAero - Magellium,7390,UNHCR,Mozambique,Toulouse,Ecole d'ingénieurs SupAero,"Manon, Céline",UNHCR,x,10,1263,367 routes (52.8 km),
27/11/2019,2019,11,27,Mapathon Missing Maps à Chambéry @o79,7374,HSF,Cameroun,Chambéry,o79,"Céline, Léonie",HSF,10,10,1075,300 routes (101.5 km),
20/11/2019,2019,11,20,Mapathon Missing Maps à Grenoble @La Turbine.Coop,5822,Yaam Solidarité,Burkina Faso,Grenoble,La Turbine.Coop,"Hana, Manon",Yaam Solidarité,19,17,1535,"80 routes (12,7km)",
20/11/2019,2019,11,20,Mapathon Marseille,5651,Tanzanian Development Trust,Tanzanie,Marseille,Young Researchers Forum,"Céline, Léonie",UCL (University College of London),60,40,x,x,
19/11/2019,2019,11,19,Mapathon Missing Maps à Lyon @Le Tuba,7249,UNHCR,Kenya,Lyon,Le Tuba,"Hana, Clémence",UNHCR,10,8,1375,71 routes (16.7 km),
14/11/2019,2019,11,14,Mapathon Université Savoie-Mont-Blanc,7249,UNHCR,Kenya,Chambéry,Université Savoie-Mont-Blanc,"Hana, Céline",UNHCR,32,17,2081,87 routes (18.7 km),
13/11/2019,2019,11,13,Mapathon Humanitaire à Besançon,7249,UNHCR,Kenya,Besançon,Maison des sciences de l'homme et de l'environnement,Léonie,UNHCR,22,16,2678,"144 routes (44,3 km)",
07/11/2019,2019,11,7,Mapathon Missing Maps à Paris @La Paillasse,5822,Yaam Solidarité,Burkina Faso,Paris,La Paillasse,Clémence,Yaam Solidarité,34,19,2013,"28 routes (3,6 km)",
