Project,Country
7374,Cameroun
7249,Kenya
6760,Guyane
6499,Guyane
6174,Kenya
6072,Niger
6070,Niger
6069,Kenya
6068,Kenya
6067,Kenya
6056,Népal
6055,Népal
6054,Népal
5891,Ethiopie
5890,Ethiopie
5889,Ethiopie
5861,Ethiopie
5847,Ethiopie
5795,Haiti
5758,Equateur
5665,Birmanie
5822,Burkina Faso
5654,Burkina Faso
5636,RDC
5624,Algérie 
5571,Algérie 
5527,Equateur
5504,Népal
5446,Algérie 
5293,Kenya
5290,Kenya
5268,Kenya
4979,Algérie 
4910,Ouganda
4909,Soudan 
4857,Ouganda
4828,Madagascar
4822,Madagascar
4805,Burkina Faso
4768,Bangladesh
4750,Madagascar
4688,Bangladesh
4651,Bangladesh
4618,Madagascar
4609,Bangladesh
4605,Bangladesh
4604,Bangladesh
4578,Bangladesh
4577,Burkina Faso
4573,Bangladesh
4473,Bangladesh
4442,Haiti
4438,Madagascar
4417,Cameroun
4416,Cameroun
4391,Madagascar
4388,Madagascar
4331,Bangladesh
4285,Népal
4255,Kirghizistan
4252,Madagascar
4200,Bangladesh 
4196,Bangladesh 
4146,Bangladesh 
4145,Bangladesh 
4143,Bangladesh 
4137,Bangladesh 
4117,Bangladesh 
4116,Bangladesh 
4101,Bangladesh 
4081,Bangladesh 
4067,Bangladesh 
4065,Bangladesh 
4063,Bangladesh 
4060,Bangladesh 
4040,Bangladesh 
4038,Bangladesh 
4030,Bangladesh 
4025,Haiti
4006,Bangladesh 
4003,Bangladesh 
3999,Madagascar
3946,Congo
3941,Tchad
3862,Madagascar
3861,Madagascar
3802,Niger
3787,Népal
3777,Niger
3720,Madagascar
3703,Madagascar
3686,Madagascar
3679,Madagascar
3110,Madagascar
2818,Uganda
2705,Uganda
2693,Mali
2636,Nigeria
2635,Nigeria
2608,RDC
2551,Laos
2488,Kenya
2484,Sud Soudan
2483,Kenya
2480,Kenya
2441,Uganda
2421,Uganda
2403,Afrique du Sud
2379,Uganda
2334,Madagascar
2333,Burkina Faso
2315,Madagascar
2286,Zimbabwe
2266,Mali
2259,Mali
2240,Malawi
2215,Mali
2192,Malawi
1910,RDC
1820,Irak
1818,Bangladesh
1817,Bangladesh
1816,Bangladesh
1809,Irak
1808,Irak
1671,Zimbabwe
1670,Zimbabwe
1669,Zimbabwe
1668,Zimbabwe
1484,Zambie
1467,Mozambique
1466,Mozambique
1465,Mozambique
1428,Uganda
1390,Mozambique
1343,Mozambique
1342,Malawi
1262,Soudan
